house_type,house_size,city,latitude,longitude,price,currency,numBathrooms,numBalconies,Status
3 BHK Independent Floor ,"1,801 sq ft",Delhi,28.56769562,77.24327087,59999,INR,3.0,,Semi-Furnished
4 BHK Independent Floor ,"2,700 sq ft",Delhi,28.64249039,77.13269806,50000,INR,4.0,,Furnished
4 BHK Independent Floor ,"3,000 sq ft",Delhi,28.5687809,77.23298645,250000,INR,4.0,,Semi-Furnished
3 BHK Apartment ,"1,960 sq ft",Delhi,28.58725357,77.03544617,30000,INR,3.0,,Semi-Furnished
2 BHK Apartment ,720 sq ft,Delhi,28.49046516,77.17954254,15000,INR,2.0,,Semi-Furnished
2 BHK Independent Floor ,"1,050 sq ft",Delhi,28.52456093,77.14914703,35000,INR,2.0,,Semi-Furnished
2 BHK Independent Floor ,650 sq ft,Delhi,28.61807823,77.04087067,12500,INR,2.0,,Semi-Furnished
3 BHK Independent Floor ,"2,250 sq ft",Delhi,28.66526985,77.0896225,65000,INR,3.0,,Semi-Furnished
3 BHK Apartment ,"2,000 sq ft",Delhi,28.56251144,77.05653381,40000,INR,2.0,,Semi-Furnished
3 BHK Independent Floor ,"2,700 sq ft",Delhi,28.56470108,77.19415283,95000,INR,4.0,,Semi-Furnished
2 BHK Apartment ,"1,100 sq ft",Delhi,28.57617188,77.04163361,25000,INR,2.0,,Semi-Furnished
1 RK Studio Apartment ,400 sq ft,Delhi,28.56038666,77.21283722,14000,INR,1.0,,Furnished
3 BHK Apartment ,"1,800 sq ft",Delhi,28.55782318,77.05976868,30000,INR,3.0,,Semi-Furnished
2 BHK Apartment ,950 sq ft,Delhi,28.53419876,77.21559143,22000,INR,2.0,,Semi-Furnished
2 BHK Independent Floor ,500 sq ft,Delhi,28.53511238,77.26423645,13000,INR,2.0,,Semi-Furnished
3 BHK Apartment ,"1,700 sq ft",Delhi,28.60261345,77.03928375,33000,INR,3.0,,Semi-Furnished
4 BHK Independent Floor ,"2,300 sq ft",Delhi,28.66526985,77.0896225,45000,INR,3.0,,Semi-Furnished
4 BHK Independent Floor ,"5,000 sq ft",Delhi,28.57727623,77.16886139,625000,INR,5.0,,Semi-Furnished
3 BHK Independent Floor ,"1,800 sq ft",Delhi,28.69649315,77.13860321,58000,INR,3.0,,Semi-Furnished
3 BHK Independent Floor ,"2,000 sq ft",Delhi,28.57302666,77.23272705,120000,INR,3.0,,Furnished
3 BHK Apartment ,"1,800 sq ft",Delhi,28.55642891,77.06002045,60000,INR,2.0,,Semi-Furnished
1 BHK Independent Floor ,700 sq ft,Delhi,28.61945724,77.05670929,8500,INR,1.0,,Semi-Furnished
1 BHK Independent Floor ,500 sq ft,Delhi,28.57611275,77.04671478,12000,INR,1.0,,Semi-Furnished
3 BHK Independent Floor ,"1,125 sq ft",Delhi,28.5332737,77.20761871,29500,INR,2.0,,Unfurnished
2 BHK Independent Floor ,900 sq ft,Delhi,28.71339226,77.15860748,32000,INR,2.0,,Semi-Furnished
3 BHK Independent Floor ,840 sq ft,Delhi,28.72143745,77.08004761,15000,INR,2.0,,Semi-Furnished
3 BHK Independent Floor ,990 sq ft,Delhi,28.61864662,77.05206299,15000,INR,3.0,,Semi-Furnished
1 BHK Apartment ,350 sq ft,Delhi,28.65784264,77.14247131,17000,INR,1.0,,Semi-Furnished
1 BHK Independent Floor ,360 sq ft,Delhi,28.49189186,77.30693817,8000,INR,1.0,,Unfurnished
1 BHK Independent Floor ,450 sq ft,Delhi,28.57368088,77.24310303,17000,INR,1.0,,Semi-Furnished
3 BHK Independent Floor ,"1,900 sq ft",Delhi,28.64152908,77.12091064,50000,INR,3.0,,Furnished
2 BHK Independent Floor ,750 sq ft,Delhi,28.70743752,77.11759949,15000,INR,1.0,,Semi-Furnished
2 BHK Apartment ,480 sq ft,Delhi,28.6183033,77.0569458,6500,INR,1.0,,Semi-Furnished
1 BHK Apartment ,450 sq ft,Delhi,28.56225395,77.0428772,10300,INR,2.0,,Semi-Furnished
4 BHK Independent Floor ,"3,000 sq ft",Delhi,28.63875389,77.07380676,76000,INR,4.0,,Semi-Furnished
1 BHK Apartment ,600 sq ft,Delhi,28.49543762,77.16177368,14000,INR,1.0,,Unfurnished
3 BHK Apartment ,"1,900 sq ft",Delhi,28.58954048,77.04999542,45000,INR,3.0,,Semi-Furnished
1 BHK Independent Floor ,450 sq ft,Delhi,28.61807823,77.04087067,8500,INR,1.0,,Unfurnished
1 RK Studio Apartment ,340 sq ft,Delhi,28.71587372,77.19107056,16000,INR,1.0,,Furnished
1 RK Studio Apartment ,360 sq ft,Delhi,28.66576004,77.15023041,22000,INR,1.0,,Furnished
2 BHK Independent Floor ,"1,800 sq ft",Delhi,28.53398132,77.24250031,50000,INR,2.0,,Furnished
1 BHK Apartment ,600 sq ft,Delhi,28.55321121,77.17448425,14100,INR,1.0,,Unfurnished
2 BHK Independent Floor ,800 sq ft,Delhi,28.60112762,77.07874298,16000,INR,2.0,,Semi-Furnished
3 BHK Independent Floor ,"1,300 sq ft",Delhi,28.63550949,77.26966095,20000,INR,2.0,,Furnished
3 BHK Independent Floor ,"1,300 sq ft",Delhi,28.63550949,77.26966095,20000,INR,2.0,,Furnished
